ID,OEM,Model,Description,Image,Voltage,Minimum_Battery_Weight,Battery_Connector,Lead_Length,Termination,Length,Width,Height
76992,TOYOTA,7FBH18,Sit-Down Rider Pneumatic Electric,"http://www.EQGURU.com/images/L/7FB,1.jpg",48,1775.0,SB-350 Gray,14.0,A,32.3,29.4,21.5
76993,TOYOTA,7FBH20,Sit-Down Rider Pneumatic Electric,"http://www.EQGURU.com/images/L/7FB,2.jpg",48,2305.0,SB-350 Gray,14.0,A,35.9,32.3,21.5
76994,TOYOTA,7FBH25,Sit-Down Rider Pneumatic Electric,"http://www.EQGURU.com/images/L/7FB,3.jpg",48,2305.0,SB-350 Gray,14.0,A,35.9,32.3,21.5
76995,TOYOTA,5FBE10,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,36,1145.0,SB-350 Gray,10.0,B,17.8,36.5,23.0
76996,TOYOTA,5FBE10,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,48,1145.0,SB-350 Blue,10.0,B,36.5,17.8,23.0
76997,TOYOTA,5FBE13,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,36,1540.0,SB-350 Gray,10.0,B,36.5,17.8,23.0
76998,TOYOTA,5FBE13,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,48,1540.0,SB-350 Blue,10.0,B,36.5,17.8,23.0
76999,TOYOTA,5FBE15,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,36,1540.0,SB-350 Gray,10.0,B,39.3,21.7,23.0
77000,TOYOTA,5FBE15,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,48,1540.0,SB-350 Blue,10.0,B,39.3,21.7,23.0
77001,TOYOTA,5FBE18,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,36,1540.0,SB-350 Gray,10.0,B,39.3,21.7,23.0
77002,TOYOTA,5FBE18,3-Wheel Rider Electric,http://www.EQGURU.com/images/L/T_724/3wheel.jpg,48,1540.0,SB-350 Blue,10.0,B,39.3,21.7,23.0
